code	store_name	location	product_ean
JP	Toba	Asia/Tokyo	7085753172078
PH	Tupi	Asia/Manila	3424157313344
GB	Penzance	Europe/London	7692363569978
JP	Toyokawa	Asia/Tokyo	6772240076179
PK	Kanganpur	Asia/Karachi	2568514576667
NL	Hoogezand	Europe/Amsterdam	2464563723147
IT	Novara	Europe/Rome	1494276443323
DE	Pfullingen	Europe/Berlin	5066840129658
ES	Cardedeu	Europe/Madrid	8843062567492
US	Scotch Plains	America/New_York	5373863041455
US	Abilene	America/Chicago	3175690154887
IN	Lal Bahadur Nagar	Asia/Kolkata	0563131762143
JP	Nayoro	Asia/Tokyo	2010809910712
CI	Lakota	Africa/Abidjan	1645349804156
MW	Salima	Africa/Blantyre	5959596301860
BR	Marau	America/Sao_Paulo	6060880791287
US	Beaumont	America/Los_Angeles	8781372553845
UZ	Jizzax	Asia/Samarkand	0079969196581
KR	Sinhyeon	Asia/Seoul	7468483319683
SA	Al Jubayl	Asia/Riyadh	3171987056179
GB	Cowes	Europe/London	4809819344840
DE	Walsrode	Europe/Berlin	6945450754940
IN	Periyakulam	Asia/Kolkata	9075633819085
CN	Hoxtolgay	Asia/Urumqi	2797987792216
EC	Milagro	America/Guayaquil	8647317694861
GB	Aberdeen	Europe/London	0789700133736
BR	Guapimirim	America/Sao_Paulo	8492380198859
PL	Ustka	Europe/Warsaw	2433469748486
FI	Tornio	Europe/Helsinki	7362055829368
US	West Chester	America/New_York	8482281487824
TR	Gaziantep	Europe/Istanbul	6754131857241
IT	Falconara Marittima	Europe/Rome	5899380721156
LY	Ajdabiya	Africa/Tripoli	3082688734436
NI	Jinotepe	America/Managua	0016812665733
IN	Robertsonpet	Asia/Kolkata	9990223371913
CO	Buenaventura	America/Bogota	7679818682734
TD	Mongo	Africa/Ndjamena	3253679845381
US	Morningside Heights	America/New_York	6711886268524
CF	Carnot	Africa/Bangui	0903665391790
IT	Lanciano	Europe/Rome	8899128632543
IN	Pilkhua	Asia/Kolkata	8933921044353
JP	Toyokawa	Asia/Tokyo	5472082261412
BR	Viradouro	America/Sao_Paulo	4700405770886
TR	Silvan	Europe/Istanbul	8002931882634
CN	Hengshui	Asia/Shanghai	0081140722496
TH	Yasothon	Asia/Bangkok	1800261133955
PH	Jagna	Asia/Manila	9079575127482
RS	Negotin	Europe/Belgrade	5257970074738
CN	Dongdu	Asia/Shanghai	2627464374133
JP	Shimotoda	Asia/Tokyo	5089947435873
IN	Saharsa	Asia/Kolkata	4603185374902
BO	Tupiza	America/La_Paz	0322900224554
DE	Verl	Europe/Berlin	6862338092713
CN	Haicheng	Asia/Shanghai	4989682473035
GB	Exeter	Europe/London	9749535035712
RU	Ishim	Asia/Yekaterinburg	4430057597745
BR	Guapimirim	America/Sao_Paulo	3261023175374
IT	Agrigento	Europe/Rome	6596392080569
TZ	Kidodi	Africa/Dar_es_Salaam	6489128128898
MX	Contla	America/Mexico_City	6262630950702
IR	Darreh Shahr	Asia/Tehran	6126046721199
IN	Leteri	Asia/Kolkata	0911814756949
US	Saratoga Springs	America/Denver	9450056747434
ES	el Camp de l'Arpa del Clot	Europe/Madrid	5752350737376
UG	Paidha	Africa/Kampala	4196684399052
US	Milledgeville	America/New_York	5369993878368
US	South Whittier	America/Los_Angeles	4830301540556
RU	Naro-Fominsk	Europe/Moscow	2510330907514
CN	Meizhou	Asia/Shanghai	8014796995237
US	Coralville	America/Chicago	6648322892305
GB	Thetford	Europe/London	5384477580971
MG	Ikalamavony	Indian/Antananarivo	0444566006814
ID	Simpang	Asia/Jakarta	6264850448984
IQ	Karbala	Asia/Baghdad	8098808579530
KR	Eisen	Asia/Seoul	8957169171916
IT	Misterbianco	Europe/Rome	7819600754441
US	Sun City Center	America/New_York	3020305730270
RU	Yashkino	Asia/Novokuznetsk	3776920300168
CU	Jaruco	America/Havana	1947259958586
US	Sunnyside	America/Los_Angeles	5393583874034
KZ	Kyzylorda	Asia/Qyzylorda	2492472999568
CN	Yingkou	Asia/Shanghai	4181314192776
MW	Salima	Africa/Blantyre	2138521510239
US	Visitacion Valley	America/Los_Angeles	1716776753383
MX	Acaponeta	America/Mazatlan	1078999063237
IN	Gariadhar	Asia/Kolkata	6876565572153
ID	Simpang	Asia/Jakarta	2115742175447
US	Longview	America/Chicago	2338085933813
UG	Arua	Africa/Kampala	1187376290903
US	Jersey City	America/New_York	7781110379011
CN	Taozhuang	Asia/Shanghai	2077775499580
GH	Tarkwa	Africa/Accra	0327732539630
DE	Landshut	Europe/Berlin	1631633075067
GB	Thetford	Europe/London	2476201221564
MZ	Maxixe	Africa/Maputo	1527688260063
RU	Gavrilov-Yam	Europe/Moscow	1677652504928
NL	Zeist	Europe/Amsterdam	2049881840938
CU	Media Luna	America/Havana	7102970057787
MX	San Lorenzo Acopilco	America/Mexico_City	3786112016548
IN	Osmanabad	Asia/Kolkata	5682387691801
DE	Siegburg	Europe/Berlin	5932096064879
IN	Gajendragarh	Asia/Kolkata	9783482420313
US	Malden	America/New_York	4292996434495
DE	Kirchlengern	Europe/Berlin	8344068156005
FR	Elbeuf	Europe/Paris	8807264986970
US	Rosemount	America/Chicago	0901079483544
JP	Nonoichi	Asia/Tokyo	6503022109224
US	Dublin	America/New_York	7096721535801
CN	Changshu City	Asia/Shanghai	9925765339695
NG	Gaya	Africa/Lagos	8105887044092
FR	Marly-le-Roi	Europe/Paris	3589410982405
IT	Afragola	Europe/Rome	3499834805351
JP	Fujioka	Asia/Tokyo	0704366170314
US	Muskogee	America/Chicago	9342980965063
IN	Lal Bahadur Nagar	Asia/Kolkata	8384538553309
US	Estelle	America/Chicago	9894623633919
NL	Vught	Europe/Amsterdam	4343463304770
US	Fresno	America/Chicago	4410120845423
MX	Santa Rosa Jauregui	America/Mexico_City	7387966790774
ME	Budva	Europe/Podgorica	4826806444277
DE	Bad Segeberg	Europe/Berlin	6447151958776
US	Evergreen Park	America/Chicago	2293999774399
BE	Gembloux	Europe/Brussels	1016104874729
CN	Hengshui	Asia/Shanghai	8365162525375
US	Palm Valley	America/New_York	8456235214194
CU	Media Luna	America/Havana	1097802801040
CO	Puerto Colombia	America/Bogota	0827350184989
BE	Wevelgem	Europe/Brussels	2016239806199
US	American Canyon	America/Los_Angeles	0026838185603
US	Independence	America/Chicago	4173069394857
HR	Split	Europe/Zagreb	0898318861549
US	Greenpoint	America/New_York	0307790894353
CU	Varadero	America/Havana	0270158503344
UA	Svatove	Europe/Zaporozhye	8639918150129
MA	Temara	Africa/Casablanca	0314741241234
BR	Catende	America/Recife	8760630828314
CR	Liberia	America/Costa_Rica	4252267696007
ML	Kati	Africa/Bamako	1890179349104
FR	Herblay	Europe/Paris	3376032865939
DE	Charlottenburg-Nord	Europe/Berlin	4046842343154
ID	Wangon	Asia/Jakarta	1784900738438
RU	Kireyevsk	Europe/Moscow	1510272645032
MX	Acayucan	America/Mexico_City	2537105616778
US	Dumont	America/New_York	8348070554279
US	Lebanon	America/New_York	6520017589823
US	New City	America/Chicago	4559012583972
ID	Besuki	Asia/Jakarta	6553199881805
IN	Kangayam	Asia/Kolkata	2539958959897
PR	Yauco	America/Puerto_Rico	1259141926017
US	Abilene	America/Chicago	1565815473313
PE	Chosica	America/Lima	4878738016756
VE	La Victoria	America/Caracas	2879160042865
PL	Strzelce Opolskie	Europe/Warsaw	3733823781227
CN	Zhuangyuan	Asia/Shanghai	4233222048840
TH	Thap Than	Asia/Bangkok	8788207548595
DZ	Beni Douala	Africa/Algiers	4447221140553
SV	Sonzacate	America/El_Salvador	0314625857889
US	Dublin	America/New_York	3931016765058
CA	Beaconsfield	America/Toronto	9292030329591
CO	San Carlos	America/Bogota	1714720371614
FR	Les Olives	Europe/Paris	7795760470240
IN	Kashipur	Asia/Kolkata	9099851239111
BR	Caldas Novas	America/Sao_Paulo	9414012226104
IL	Rahat	Asia/Jerusalem	4098359214038
NG	Gaya	Africa/Lagos	4303969551184
RU	Krymsk	Europe/Moscow	0032347886610
FR	Sceaux	Europe/Paris	7316472460611
IT	Chiavari	Europe/Rome	7583991212384
CN	Meizhou	Asia/Shanghai	5239674015002
BR	Rio Real	America/Bahia	9214867361490
US	Harrisburg	America/New_York	7459467700511
ID	Cibinong	Asia/Jakarta	0234490456911
JP	Hakodate	Asia/Tokyo	0425644441277
PH	Calauan	Asia/Manila	1793780479577
MK	Bogovinje	Europe/Skopje	3684774714638
IN	Bhuban	Asia/Kolkata	8373892708777
US	Sicklerville	America/New_York	1210932266729
BR	Cabo	America/Recife	6942078817453
ID	Simpang	Asia/Jakarta	8103855264251
RU	Shushary	Europe/Moscow	1865218590397
FR	Pamiers	Europe/Paris	1690940987043
CN	Hoxtolgay	Asia/Urumqi	1630770705448
US	West Des Moines	America/Chicago	0621027414313
GB	Belper	Europe/London	1505516921294
IT	Novara	Europe/Rome	8474115430618
FR	Sceaux	Europe/Paris	9514130235634
IR	Darreh Shahr	Asia/Tehran	7493701718504
GA	Franceville	Africa/Libreville	4053072520521
JP	Ina	Asia/Tokyo	2434016774569
BD	Manikchari	Asia/Dhaka	1061558825483
RU	Kashira	Europe/Moscow	9378856753427
HN	Olanchito	America/Tegucigalpa	2737040828032
US	Claremont	America/Los_Angeles	4625285630603
SV	Sonzacate	America/El_Salvador	5408592463251
US	Waterbury	America/New_York	2811673145237
MA	Oulmes	Africa/Casablanca	5292270815025
VE	Ciudad Guayana	America/Caracas	2300054858694
CU	Media Luna	America/Havana	6667530778317
US	Porterville	America/Los_Angeles	3783105558269
PR	Yauco	America/Puerto_Rico	6934174956686
SL	Freetown	Africa/Freetown	2181876592627
US	Ada	America/Chicago	4640662063522
US	Chillum	America/New_York	8165906291265
US	Greenfield	America/Indiana/Indianapolis	2034970694158
DE	Bensheim	Europe/Berlin	6812829428538
IT	Malnate	Europe/Rome	2051542930810
IE	Athlone	Europe/Dublin	0204265288238
CN	Huangshi	Asia/Shanghai	0958415639639
FR	Marseille 11	Europe/Paris	5376543750531
EE	Narva	Europe/Tallinn	5794316135734
AU	Frankston South	Australia/Melbourne	6476138990010
TZ	Same	Africa/Dar_es_Salaam	5988888213765
EC	Cuenca	America/Guayaquil	7005969402592
PH	Masbate	Asia/Manila	7425460642004
DE	Gronau	Europe/Berlin	6074017216512
KE	Busia	Africa/Nairobi	4481526578949
RU	Naro-Fominsk	Europe/Moscow	8889312807574
BR	Barras	America/Fortaleza	7850016580774
US	Rosedale	America/New_York	6020518445517
DE	Losheim	Europe/Berlin	2426119680496
DE	Hermsdorf	Europe/Berlin	9660549180185
CN	Huangshi	Asia/Shanghai	9109174353224
UA	Lutsk	Europe/Kiev	9591908061138
IT	Gorgonzola	Europe/Rome	7655236850078
GB	Belper	Europe/London	0771400468560
PH	Guyong	Asia/Manila	1566914029500
ES	San Juan de Aznalfarache	Europe/Madrid	9424333082358
NI	Somoto	America/Managua	4632371833602
KR	Eisen	Asia/Seoul	9257667980263
CN	Danjiangkou	Asia/Shanghai	4927938644563
US	Lexington	America/New_York	3170443963341
TN	Beni Khiar	Africa/Tunis	6522271986288
IN	Adra	Asia/Kolkata	6285906421829
IN	Bhayandar	Asia/Kolkata	9045653256375
US	Dumont	America/New_York	3284948578013
IN	Chamba	Asia/Kolkata	6627094463494
IN	Gariadhar	Asia/Kolkata	9561250935562
BR	Porto Velho	America/Porto_Velho	8386095178629
DE	Barmbek-Nord	Europe/Berlin	1019365878857
IN	Aklera	Asia/Kolkata	7709909729229
ID	Balikpapan	Asia/Makassar	6628118751788
MY	Ulu Tiram	Asia/Kuala_Lumpur	1995275126540
DZ	Frenda	Africa/Algiers	7648346421313
FR	Fontenay-aux-Roses	Europe/Paris	1016991710445
CN	Zhoushan	Asia/Shanghai	0792944701425
US	Tyler	America/Chicago	5037247235808
US	Fort Washington	America/New_York	3544166946064
AU	Eastwood	Australia/Sydney	8158041139721
IN	Talipparamba	Asia/Kolkata	7548430262153
CU	Boyeros	America/Havana	9686563219151
SY	Binnish	Asia/Damascus	5477830794327
FR	Marly-le-Roi	Europe/Paris	0156935132184
BA	Bijeljina	Europe/Sarajevo	3721231597608
US	Fitchburg	America/New_York	3809758186960
US	Hueytown	America/Chicago	5061244663630
FI	Kallio	Europe/Helsinki	2017429910153
CO	Buenaventura	America/Bogota	3568957810655
DE	Losheim	Europe/Berlin	7155093205320
PK	Sangla Hill	Asia/Karachi	4290657098314
DE	Verl	Europe/Berlin	4262131819579
PA	Veracruz	America/Panama	4159350963568
UZ	Andijon	Asia/Tashkent	4633892478280
DE	Siegburg	Europe/Berlin	3809619446080
DE	Kirchlengern	Europe/Berlin	9135276164260
LK	Dehiwala-Mount Lavinia	Asia/Colombo	5200587309908
ZA	Vryheid	Africa/Johannesburg	8822879958327
RU	Aykhal	Asia/Yakutsk	1106596050302
GH	Tarkwa	Africa/Accra	7758599635556
CO	Honda	America/Bogota	9812033341408
CA	Markham	America/Toronto	6543120221817
GB	Devizes	Europe/London	6524729813436
GB	Clacton-on-Sea	Europe/London	4787751387463
UY	Durazno	America/Montevideo	8096993596721
BR	Viradouro	America/Sao_Paulo	2466503716950
IT	Perugia	Europe/Rome	2944391535537
GB	Winsford	Europe/London	9490935665640
PR	Yauco	America/Puerto_Rico	9667773932276
LK	Hendala	Asia/Colombo	6095146232013
US	New Canaan	America/New_York	4791673844478
TZ	Same	Africa/Dar_es_Salaam	3405934750422
US	Fort Washington	America/New_York	4778876037111
IN	Madhipura	Asia/Kolkata	3841567250005
GB	Gainsborough	Europe/London	2814424893760
US	Rolla	America/Chicago	9887430017461
CO	Buenaventura	America/Bogota	4614983105384
BG	Aytos	Europe/Sofia	2146759289827
PK	Daud Khel	Asia/Karachi	1063566363773
NE	Mirriah	Africa/Niamey	3039796891834
RU	Solntsevo	Europe/Moscow	6909513992045
CI	Bonoua	Africa/Abidjan	9202213342811
MA	Temara	Africa/Casablanca	7242448423161
GB	Viewpark	Europe/London	9922357807594
DE	Rudolstadt	Europe/Berlin	2007303649422
IN	Chamba	Asia/Kolkata	8803627736527
RU	Ozersk	Asia/Yekaterinburg	9092751226588
JP	Suzaka	Asia/Tokyo	1695664212983
CA	Pointe-Claire	America/Toronto	4039927168896
TH	Thap Than	Asia/Bangkok	9891855222041
EE	Narva	Europe/Tallinn	0456267352183
EC	Milagro	America/Guayaquil	4062174356853
US	Taunton	America/New_York	2157216087498
CN	Yingkou	Asia/Shanghai	7086634149714
US	Waterbury	America/New_York	6200262346586
AM	Hrazdan	Asia/Yerevan	8508265114903
UA	Lutsk	Europe/Kiev	6323972675965
US	Norwalk	America/New_York	7290668757405
NG	Yenagoa	Africa/Lagos	8360174043046
GB	Devizes	Europe/London	3993386600414
IN	Adra	Asia/Kolkata	7269457888217
GB	Rutherglen	Europe/London	3820124935050
ID	Pameungpeuk	Asia/Jakarta	4376483929982
DE	Verl	Europe/Berlin	3839202168341
IN	Aklera	Asia/Kolkata	7112192165740
US	Newburgh	America/New_York	5735093397540
PE	Chosica	America/Lima	8499875741088
BR	Guapimirim	America/Sao_Paulo	9800938157835
RU	Lesnoy	Asia/Yekaterinburg	0025259820537
IT	Catania	Europe/Rome	6765430687545
IN	Jais	Asia/Kolkata	5851727087684
US	Collinwood	America/New_York	3388813330574
GB	Poulton-le-Fylde	Europe/London	0387838249468
CU	Boyeros	America/Havana	0742770304741
DJ	'Ali Sabieh	Africa/Djibouti	5434578386016
HT	Thomazeau	America/Port-au-Prince	6121294567254
JM	New Kingston	America/Jamaica	6309646693091
BR	Artur Nogueira	America/Sao_Paulo	9689271797966
CN	Wacheng	Asia/Shanghai	0358672185014
BR	Iturama	America/Sao_Paulo	4739966332127
DE	Marburg an der Lahn	Europe/Berlin	4501463284588
PR	Aguadilla	America/Puerto_Rico	2319057534399
DE	Kirchlengern	Europe/Berlin	6199495244762
BR	Guapimirim	America/Sao_Paulo	0628525196659
RU	Otradnyy	Europe/Samara	1225703546375
GB	Devizes	Europe/London	4497324059092
CI	Bonoua	Africa/Abidjan	6256814677943
CD	Yangambi	Africa/Lubumbashi	9970049699408
RU	Lesnoy	Asia/Yekaterinburg	5670863363298
FR	Herblay	Europe/Paris	8582684433944
BR	Imbituba	America/Sao_Paulo	8832814333232
FR	Saint-Omer	Europe/Paris	4210246703429
ES	Gernika-Lumo	Europe/Madrid	4204002937845
US	Camarillo	America/Los_Angeles	5537734932611
CO	Socorro	America/Bogota	6066309942445
US	American Canyon	America/Los_Angeles	0011039045344
CF	Carnot	Africa/Bangui	6901208843946
US	Lino Lakes	America/Chicago	8281175130248
IT	Francavilla Fontana	Europe/Rome	8606779961720
CM	Idenao	Africa/Douala	4694425241511
RU	Lesosibirsk	Asia/Krasnoyarsk	0122428704671
US	Coralville	America/Chicago	3355668011699
US	Mira Mesa	America/Los_Angeles	1076544453700
PL	Brzeg	Europe/Warsaw	5166028562908
MX	Acayucan	America/Mexico_City	8249813947566
CR	Liberia	America/Costa_Rica	4486303471185
IN	Dharmapuri	Asia/Kolkata	4704891368527
IT	Francavilla Fontana	Europe/Rome	3570203193061
NZ	Gisborne	Pacific/Auckland	5337502372843
